200,2,1408
200,4,3253
200,8,2623
200,16,689
200,32,1009
200,64,1739
200,128,3404
400,2,1250
400,4,997
400,8,311
400,16,1350
400,32,1289
400,64,4548
400,128,5665
800,2,367
800,4,144
800,8,297
800,16,516
800,32,1072
800,64,2135
800,128,7084
1000,2,810
1000,4,213
1000,8,345
1000,16,510
1000,32,1076
1000,64,3202
1000,128,4829
2000,2,138
2000,4,245
2000,8,862
2000,16,794
2000,32,2095
2000,64,5840
2000,128,5434
4000,2,187
4000,4,244
4000,8,456
4000,16,877
4000,32,2199
4000,64,10158
4000,128,12493
8000,2,338
8000,4,706
8000,8,1502
8000,16,8393
8000,32,3521
8000,64,6966
8000,128,36084
16000,2,627
16000,4,1218
16000,8,1912
16000,16,3551
16000,32,14222
16000,64,26372
16000,128,83397
32000,2,2320
32000,4,2351
32000,8,3626
32000,16,9208
32000,32,17193
32000,64,95558
32000,128,190119
64000,2,2450
64000,4,3465
64000,8,7331
64000,16,22069
64000,32,57692
64000,64,216814
64000,128,614783
